	bertscore_f1	bertscore_precision	bertscore_recall	bleu	chrf	chrf2	comet_no_ref	comet_ref	meteor	rouge	ter
gpt-4.1-nano_r3_spt4m_spt4l_upt1_meta4xnli_train_metaphorical_sample_1000	0.9541740172505379	0.9533292074799538	0.9551122727394104	48.75158274459415	71.88352440600428	70.48979488608826	0.9487651806473733	0.9596045306622982	70.41141681701339	71.59968199776402	34.94511214225384
meta-llama_llama-4-maverick-17b-128e-instruct_r3_spt4m_spt4l_upt1_meta4xnli_train_metaphorical_sample_1000	0.9560832160115242	0.9554781255722046	0.956782528936863	51.05991276643322	73.06730945461979	71.76669187686308	0.9462754290699958	0.9573820915520191	72.08270527908327	72.79607017051958	33.732117877668095
mistral-saba-24b_r3_spt4m_spt4l_upt1_meta4xnli_train_metaphorical_sample_1000	0.9513440124392509	0.951767176926136	0.9510275172591209	47.060134958965456	70.41697611529281	68.95379643577284	0.9411341830193997	0.9503820698857307	68.80370807184384	69.78697323529633	36.40991013835422
meta-llama_llama-4-scout-17b-16e-instruct_r3_spt4m_spt4l_upt1_meta4xnli_train_metaphorical_sample_1000	0.9521983588933944	0.9505288770198822	0.954012626349926	48.128779210534695	71.30252141472482	69.9360503764177	0.9467709269970656	0.9583244514465332	70.26263039802357	70.87562393032412	39.32555623584053
gemma2-9b-it_r3_spt4m_spt4l_upt1_meta4xnli_train_metaphorical_sample_1000	0.9405716094970703	0.9404217242002487	0.9409271192550659	43.71288068011498	67.43272427526053	65.85705404150741	0.9283985849022865	0.9409404044896365	64.91943058839512	66.80509472134229	41.76085621542123
llama-3.1-8b-instant_r3_spt4m_spt4l_upt1_meta4xnli_train_metaphorical_sample_1000	0.9480365834832192	0.9468531866073608	0.9493210842609405	44.027609645849225	68.6863483096535	67.13823231346413	0.9342247588187456	0.9432307016253472	66.51134019956076	67.85461975864405	40.339119031024254
allam-2-7b_r3_spt4m_spt4l_upt1_meta4xnli_train_metaphorical_sample_1000	0.9348091126680375	0.9334382988810539	0.9363621922135353	34.71841169853077	61.93006876300912	59.980358400907	0.8902446560114622	0.8930984016433359	58.12500586549382	60.30898563553789	48.68872211643912
llama3-70b-8192_r3_spt4m_spt4l_upt1_meta4xnli_train_metaphorical_sample_1000	0.948524118244648	0.9488035587072372	0.948361400783062	44.9676823371096	68.59842686324725	67.1884104495239	0.9264486851096153	0.9382238486409187	67.11437124809594	68.91765309727367	38.17067970032836
llama3-8b-8192_r3_spt4m_spt4l_upt1_meta4xnli_train_metaphorical_sample_1000	0.9466361795663834	0.9461007861495018	0.9472825428843499	42.297267150512816	67.3564833525587	65.71763405639852	0.9272458341121673	0.9374814664125443	64.85001082931667	66.64867359251164	41.41839223339426
llama-3.3-70b-versatile_r3_spt4m_spt4l_upt1_meta4xnli_train_metaphorical_sample_1000	0.9538430616855621	0.9529688133001327	0.9548841050267219	49.0182854609818	71.95601809809924	70.56116008097187	0.943174518942833	0.9550042122602462	70.8062801460677	71.66211512188454	51.475493862349076
meta-llama_llama-4-scout-17b-16e-instruct_r6m_spt4m_spt4l_upt1_meta4xnli_train_metaphorical_sample_1000	0.9514864902496338	0.9497918015122414	0.9533323886990547	47.417081029677036	70.86351794870464	69.47479876560278	0.9440780368968844	0.9560034617930651	69.63771801393254	70.37730921001292	42.1002704298654
